Table ID,Table Title,Table Universe,5 Year Geography Restrictions (with Summary Levels in Parentheses)
B19037E,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B19037F,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),Universe: Households with a householder who is Some other race alone,"Excludes Block Group (150,258,293,294)"
B19037G,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),Universe: Households with a householder who is Two or more races,"Excludes Block Group (150,258,293,294)"
B19037H,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Universe: Households with a householder who is White alone, not Hispanic or Latino","Excludes Block Group (150,258,293,294)"
B19037I,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),Universe: Households with a householder who is Hispanic or Latino,"Excludes Block Group (150,258,293,294)"
B19049,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER,Universe: Households,Excludes Place/Remainder (070)
B19050,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER,Universe: Households,Excludes Place/Remainder (070)
B19051,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19052,WAGE OR SALARY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19053,SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19054,"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS",Universe: Households,Excludes Place/Remainder (070)
B19055,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19056,SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19057,PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19058,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19059,RETIREMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19060,OTHER TYPES OF INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19061,AGGREGATE EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19062,AGGREGATE WAGE OR SALARY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19063,AGGREGATE SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19064,"AGGREGATE INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS",Universe: Households,Excludes Place/Remainder (070)
B19065,AGGREGATE SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19066,AGGREGATE SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19067,AGGREGATE PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19069,AGGREGATE RETIREMENT INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19070,AGGREGATE OTHER TYPES OF INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,Universe: Households,Excludes Place/Remainder (070)
B19080,HOUSEHOLD INCOME QUINTILE UPPER LIMITS,Universe: Households,"Excludes Block Group (150,258,293,294)"
B19081,MEAN HOUSEHOLD INCOME OF QUINTILES,Universe: Households,"Excludes Block Group (150,258,293,294)"
B19082,SHARES OF AGGREGATE HOUSEHOLD INCOME BY QUINTILE,Universe: Households,"Excludes Block Group (150,258,293,294)"
B19083,GINI INDEX OF INCOME INEQUALITY,Universe: Households,"Excludes Block Group (150,258,293,294)"
B19101,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Families,Excludes Place/Remainder (070)
B19101A,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),Universe: Families with a householder who is White alone,"Excludes Block Group (150,258,293,294)"
B19101B,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Universe: Families with a householder who is Black or African American alone,"Excludes Block Group (150,258,293,294)"
B19101C,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Universe: Families with a householder who is American Indian and Alaska Native alone,"Excludes Block Group (150,258,293,294)"
B19101D,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),Universe: Families with a householder who is Asian alone,"Excludes Block Group (150,258,293,294)"
B19101E,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B19101F,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),Universe: Families with a householder who is Some other race alone,"Excludes Block Group (150,258,293,294)"
B19101G,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),Universe: Families with a householder who is Two or more races,"Excludes Block Group (150,258,293,294)"
B19101H,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Universe: Families with a householder who is White alone, not Hispanic or Latino","Excludes Block Group (150,258,293,294)"
B19101I,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),Universe: Families with a householder who is Hispanic or Latino,"Excludes Block Group (150,258,293,294)"
B19113,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Families,Excludes Place/Remainder (070)
B19113A,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),Universe: Families with a householder who is White alone,"Excludes Block Group (150,258,293,294)"
B19113B,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Universe: Families with a householder who is Black or African American alone,"Excludes Block Group (150,258,293,294)"
B19113C,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Universe: Families with a householder who is American Indian and Alaska Native alone,"Excludes Block Group (150,258,293,294)"
B19113D,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),Universe: Families with a householder who is Asian alone,"Excludes Block Group (150,258,293,294)"
B19113E,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Universe: Families with a householder who is Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B19113F,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),Universe: Families with a householder who is Some other race alone,"Excludes Block Group (150,258,293,294)"
B19113G,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES),Universe: Families with a householder who is Two or more races,"Excludes Block Group (150,258,293,294)"
B19113H,"MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Universe: Families with a householder who is White alone, not Hispanic or Latino","Excludes Block Group (150,258,293,294)"
B19113I,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),Universe: Families with a householder who is Hispanic or Latino,"Excludes Block Group (150,258,293,294)"
B19119,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19121,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY NUMBER OF EARNERS IN FAMILY,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19122,NUMBER OF EARNERS IN FAMILY,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19123,FAMILY SIZE BY CASH PUBLIC ASSISTANCE INCOME OR HOUSEHOLDS RECEIVING FOOD STAMPS/SNAP BENEFITS IN THE PAST 12 MONTHS,Universe: Families,Excludes Place/Remainder (070)
B19125,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19126,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19127,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Families,Excludes Place/Remainder (070)
B19128,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19129,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY NUMBER OF WORKERS IN FAMILY,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19130,AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY AGE OF HOUSEHOLDER,Universe: Families,"Excludes Block Group (150,258,293,294)"
B19131,FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Families,"Excludes Block Group (150,258,293,294)"
B19201,NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Nonfamily households,Excludes Place/Remainder (070)
B19202,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Nonfamily households,Excludes Place/Remainder (070)
B19202A,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),Universe: Nonfamily households with a householder who is White alone,"Excludes Block Group (150,258,293,294)"
B19202B,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Universe: Nonfamily households with a householder who is Black or African American alone,"Excludes Block Group (150,258,293,294)"
B19202C,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Universe: Nonfamily households with householder who is American Indian and Alaska Native alone,"Excludes Block Group (150,258,293,294)"
B19202D,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),Universe: Nonfamily households with a householder who is Asian alone,"Excludes Block Group (150,258,293,294)"
B19202E,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Universe: Nonfamily households with a householder who is Native Hawaiian and Other Pacific Islander alone,"Excludes Block Group (150,258,293,294)"
B19202F,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),Universe: Nonfamily households with a householder who is Some other race alone,"Excludes Block Group (150,258,293,294)"
B19202G,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),Universe: Nonfamily households with a householder who is Two or more races,"Excludes Block Group (150,258,293,294)"
B19202H,"MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Universe: Nonfamily households with a householder who is White alone, Not Hispanic or Latino","Excludes Block Group (150,258,293,294)"
B19202I,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),Universe: Nonfamily households with a householder who is Hispanic or Latino,"Excludes Block Group (150,258,293,294)"
B19214,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Nonfamily households,Excludes Place/Remainder (070)
B19215,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Universe: Nonfamily households,"Excludes Block Group (150,258,293,294)"
B19216,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Universe: Nonfamily households,"Excludes Block Group (150,258,293,294)"
B19301,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Total population,Excludes Place/Remainder (070)
B19301A,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE),Universe: People who are White alone,Excludes Place/Remainder (070)
B19301B,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,Excludes Place/Remainder (070)
B19301C,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,Excludes Place/Remainder (070)
B19301D,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE),Universe: People who are Asian alone,Excludes Place/Remainder (070)
B19301E,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,Excludes Place/Remainder (070)
B19301F,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,Excludes Place/Remainder (070)
B19301G,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES),Universe: People who are Two or more races,Excludes Place/Remainder (070)
B19301H,"PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population",Excludes Place/Remainder (070)
B19301I,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,Excludes Place/Remainder (070)
B19313,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Population 15 years and over,Excludes Place/Remainder (070)
B19313A,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),Universe: White alone population 15 years and over,Excludes Place/Remainder (070)
B19313B,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 15 years and over,Excludes Place/Remainder (070)
B19313C,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 15 years and over,Excludes Place/Remainder (070)
B19313D,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 15 years and over,Excludes Place/Remainder (070)
B19313E,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 15 years and over,Excludes Place/Remainder (070)
B19313F,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 15 years and over,Excludes Place/Remainder (070)
B19313G,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 15 years and over,Excludes Place/Remainder (070)
B19313H,"AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 15 years and over",Excludes Place/Remainder (070)
B19313I,AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 15 years and over,Excludes Place/Remainder (070)
B19325,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"Excludes Block Group (150,258,293,294)"
B19326,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER WITH INCOME,Universe: Population 15 years and over with income in the past 12 months,"Excludes Block Group (150,258,293,294)"
B20001,SEX BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS,Universe: Population 16 years and over with earnings,Excludes Place/Remainder (070)
B20002,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS,Universe: Population 16 years and over with earnings,Excludes Place/Remainder (070)
B20003,AGGREGATE EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS,Universe: Population 16 years and over with earnings,Excludes Place/Remainder (070)
B20004,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with earnings,"Excludes Block Group (150,258,293,294)"
B20005,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER,Universe: Population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005A,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE),Universe: White alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005B,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005C,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005D,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005E,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005F,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005G,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20005H,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 16 years and over","Excludes Block Group (150,258,293,294)"
B20005I,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 16 years and over,"Excludes Block Group (150,258,293,294)"
B20017,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS,Universe: Population 16 years and over with earnings,Excludes Place/Remainder (070)
B20017A,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS (WHITE ALONE),Universe: White alone population 16 years and over with earnings in the past 12 months,"Excludes Block Group (150,258,293,294)"
